[*] '/home/tony/Advanced-Programming-in-the-UNIX-Environment/Lab3/gotoku'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_773      1cfc0      14b60     
gop_774      1c978      13ed0     
gop_775      1c4f8      135d0     
gop_776      1c080      12ce0     
gop_777      1bb90      12300     
gop_778      1dc70      164c0     
gop_779      1d7b8      15b50     
gop_780      1c718      13a10     
gop_781      1c268      130b0     
gop_782      1be58      12890     
gop_783      1ddb0      16740     
gop_784      1d900      15de0     
gop_785      1d418      15410     
gop_786      1cf48      14a70     
gop_787      1ca88      140f0     
gop_788      1c610      13800     
gop_789      1c180      12ee0     
gop_790      1d658      15890     
gop_791      1d1e8      14fb0     
gop_792      1cbc0      14360     
gop_793      1c720      13a20     
gop_794      1c2a0      13120     
gop_795      1bde0      127a0     
gop_796      1dec0      16960     
gop_797      1da58      16090     
gop_798      1d538      15650     
gop_799      1d218      15010     
gop_800      1bca0      12520     
gop_801      1d3b8      15350     
gop_802      1d8b0      15d40     
gop_803      1ca78      140d0     
gop_804      1cf10      14a00     
gop_805      1c158      12e90     
gop_806      1c5d8      13790     
gop_807      1df10      16a00     
gop_808      1be00      127e0     
gop_809      1d598      15710     
gop_810      1d770      15ac0     
gop_811      1cad0      14180     
gop_812      1cf68      14ab0     
gop_813      1c1c0      12f60     
gop_814      1c638      13850     
gop_815      1ddf8      167d0     
gop_816      1bcf0      125c0     
gop_817      1d448      15470     
gop_818      1d948      15e70     
gop_819      1cb28      14230     
gop_820      1bf10      12a00     
gop_821      1c3a0      13320     
gop_822      1dca8      16530     
gop_823      1bbb8      12350     
gop_824      1d2e0      151a0     
gop_825      1d7d8      15b90     
gop_826      1c9c0      13f60     
gop_827      1ce48      14870     
gop_828      1c0a0      12d20     
gop_829      1c530      13640     
gop_830      1bdc0      12760     
gop_831      1d508      155f0     
gop_832      1da08      15ff0     
gop_833      1cd28      14630     
gop_834      1d1a0      14f20     
gop_835      1c420      13420     
gop_836      1c888      13cf0     
gop_837      1ba78      120d0     
gop_838      1bf68      12ab0     
gop_839      1d6d8      15990     
gop_840      1ca70      140c0     
gop_841      1cf08      149f0     
gop_842      1c150      12e80     
gop_843      1c5d0      13780     
gop_844      1df08      169f0     
gop_845      1bdf8      127d0     
gop_846      1d590      15700     
gop_847      1da70      160c0     
gop_848      1cbf8      143d0     
gop_849      1d088      14cf0     
gop_850      1dd70      166c0     
gop_851      1bc90      12500     
gop_852      1d390      15300     
gop_853      1d840      15c60     
gop_854      1cac0      14160     
gop_855      1cde0      147a0     
gop_856      1c040      12c60     
gop_857      1c498      13510     
gop_858      1dc48      16470     
gop_859      1bb60      122a0     
gop_860      1cdd0      14780     
gop_861      1c008      12bf0     
gop_862      1c450      13480     
gop_863      1dc98      16510     
gop_864      1ba28      12030     
gop_865      1d158      14e90     
gop_866      1d640      15860     
gop_867      1c838      13c50     
gop_868      1cce0      145a0     
gop_869      1bf08      129f0     
gop_870      1d628      15830     
gop_871      1dae0      161a0     
gop_872      1cd10      14600     
gop_873      1d018      14c10     
gop_874      1c250      13080     
gop_875      1c6e8      139b0     
gop_876      1deb8      16950     
gop_877      1bdb8      12750     
gop_878      1d500      155e0     
gop_879      1da00      15fe0     
gop_880      1c6a0      13920     
gop_881      1dee0      169a0     
gop_882      1bc98      12510     
gop_883      1d3b0      15340     
gop_884      1d8a8      15d30     
gop_885      1ca68      140b0     
gop_886      1cf00      149e0     
gop_887      1c148      12e70     
gop_888      1c5c8      13770     
gop_889      1df00      169e0     
gop_890      1cee0      149a0     
gop_891      1c130      12e40     
gop_892      1c590      13700     
gop_893      1dd68      166b0     
gop_894      1bc88      124f0     
gop_895      1d388      152f0     
gop_896      1d838      15c50     
gop_897      1cab8      14150     
gop_898      1cdd8      14790     
gop_899      1c038      12c50     
gop_900      1beb8      12950     
gop_901      1df98      16b10     
gop_902      1c980      13ee0     
gop_903      1c4e0      135a0     
gop_904      1d290      15100     
gop_905      1ce08      147f0     
gop_906      1dc50      16480     
gop_907      1d798      15b10     
gop_908      1c070      12cc0     
gop_909      1bb88      122f0     
gop_910      1bfe0      12ba0     
gop_911      1cda8      14730     
gop_912      1c8f8      13dd0     
gop_913      1d910      15e00     
gop_914      1d400      153e0     
gop_915      1bcc0      12560     
